epoch,train_loss,train_acc,test_loss,test_acc
0,4.08859390521718,0.1165303738317757,2.7956603043515917,0.3252302275189599
1,2.3728954496784747,0.4256717289719626,1.6544180940574325,0.5759750812567713
2,1.6423236903186156,0.584696261682243,1.1890902800459258,0.6888881365113759
3,1.248933109572314,0.6728971962616822,0.8418916314840317,0.7839247020585048
4,0.9526871408675318,0.7381717289719626,0.6719411637791446,0.8263813651137595
5,0.7381257366075694,0.7967289719626168,0.490434559403171,0.8765574214517876
6,0.619783142250832,0.8295852803738317,0.43279710419895784,0.8822792524377031
7,0.4883211412092793,0.8621495327102804,0.2817210213307449,0.9181338028169014
8,0.39614424339243187,0.8860981308411215,0.20893551831619,0.945862676056338
9,0.3152609054939212,0.9085864485981309,0.18198511992174554,0.9533450704225352
10,0.2589413662719601,0.9252336448598131,0.1146044997518069,0.9731514084507042
11,0.22346239624040148,0.9344334112149533,0.13115410752017315,0.9665492957746479
12,0.18815234712124845,0.9452394859813084,0.1304755159456965,0.9601841820151679
13,0.19073781050811303,0.9436331775700935,0.06946003858596873,0.9823943661971831
14,0.14641186095138786,0.9579439252336449,0.08303299892290404,0.9747088299024919
15,0.15289488887614527,0.955607476635514,0.06006753443687839,0.9823943661971831
16,0.12973641751717044,0.9645151869158879,0.07338919596661302,0.9797535211267606
17,0.10440108243584911,0.971232476635514,0.05015929086415858,0.9867957746478874
18,0.10924157451089715,0.969626168224299,0.06312315631483625,0.9823943661971831
19,0.13404826948061077,0.9624707943925234,0.046899995632128606,0.9850352112676056
